2025-05-10 18:06:09,299 - Packet #1 | Source: 104.18.19.125:443 | Destination: 192.168.215.81:59962 | Protocol: TCP
2025-05-10 18:06:09,348 - Packet #4 | Source: 192.168.215.81:59962 | Destination: 104.18.19.125:443 | Protocol: TCP
2025-05-10 18:06:09,372 - Packet #5 | Source: 192.168.215.225:53 | Destination: 192.168.215.81:61566 | Protocol: UDP
2025-05-10 18:06:09,373 - Packet #6 | Source: 192.168.215.225:53 | Destination: 192.168.215.81:59120 | Protocol: UDP
2025-05-10 18:06:09,881 - Packet #25 | Source: 192.168.215.81:60070 | Destination: 52.72.201.59:443 | Protocol: TCP
2025-05-10 18:06:09,960 - Packet #26 | Source: 192.168.215.81:60070 | Destination: 52.72.201.59:443 | Protocol: TCP
2025-05-10 18:06:09,961 - Packet #27 | Source: 192.168.215.81:59962 | Destination: 104.18.19.125:443 | Protocol: TCP
2025-05-10 18:06:09,976 - Packet #28 | Source: 192.168.215.81:59962 | Destination: 104.18.19.125:443 | Protocol: TCP
2025-05-10 18:06:10,025 - Packet #31 | Source: 104.18.19.125:443 | Destination: 192.168.215.81:59962 | Protocol: TCP
2025-05-10 18:06:10,180 - Packet #36 | Source: 52.72.201.59:443 | Destination: 192.168.215.81:60070 | Protocol: TCP
2025-05-10 18:06:10,182 - Packet #37 | Source: 52.72.201.59:443 | Destination: 192.168.215.81:60070 | Protocol: TCP
2025-05-10 18:06:10,230 - Packet #38 | Source: 52.72.201.59:443 | Destination: 192.168.215.81:60070 | Protocol: TCP
2025-05-10 18:06:10,231 - Packet #39 | Source: 192.168.215.81:60070 | Destination: 52.72.201.59:443 | Protocol: TCP
2025-05-10 18:06:10,255 - Packet #40 | Source: 104.18.19.125:443 | Destination: 192.168.215.81:59962 | Protocol: TCP
2025-05-10 18:06:10,310 - Packet #41 | Source: 192.168.215.81:59962 | Destination: 104.18.19.125:443 | Protocol: TCP
2025-05-10 18:06:11,481 - Packet #42 | Source: 192.168.215.81:59962 | Destination: 104.18.19.125:443 | Protocol: TCP
2025-05-10 18:06:11,481 - Packet #43 | Source: 192.168.215.81:59962 | Destination: 104.18.19.125:443 | Protocol: TCP
2025-05-10 18:06:11,544 - Packet #44 | Source: 104.18.19.125:443 | Destination: 192.168.215.81:59962 | Protocol: TCP
2025-05-10 18:06:11,817 - Packet #45 | Source: 104.18.19.125:443 | Destination: 192.168.215.81:59962 | Protocol: TCP
2025-05-10 18:06:11,867 - Packet #46 | Source: 192.168.215.81:59962 | Destination: 104.18.19.125:443 | Protocol: TCP
2025-05-10 18:06:12,950 - Packet #49 | Source: 192.168.215.81:59962 | Destination: 104.18.19.125:443 | Protocol: TCP
2025-05-10 18:06:12,977 - Packet #50 | Source: 192.168.215.81:59962 | Destination: 104.18.19.125:443 | Protocol: TCP
2025-05-10 18:06:12,987 - Packet #53 | Source: 104.18.19.125:443 | Destination: 192.168.215.81:59962 | Protocol: TCP
2025-05-10 18:06:13,246 - Packet #58 | Source: 104.18.19.125:443 | Destination: 192.168.215.81:59962 | Protocol: TCP
2025-05-10 18:06:13,298 - Packet #60 | Source: 192.168.215.81:59962 | Destination: 104.18.19.125:443 | Protocol: TCP
2025-05-10 18:06:13,949 - Packet #63 | Source: 192.168.215.81:59962 | Destination: 104.18.19.125:443 | Protocol: TCP
2025-05-10 18:06:13,950 - Packet #64 | Source: 192.168.215.81:59962 | Destination: 104.18.19.125:443 | Protocol: TCP
2025-05-10 18:06:13,991 - Packet #65 | Source: 104.18.19.125:443 | Destination: 192.168.215.81:59962 | Protocol: TCP
2025-05-10 18:06:25,198 - Packet #70 | Source: 104.18.19.125:443 | Destination: 192.168.215.81:59962 | Protocol: TCP
2025-05-10 18:06:25,200 - Packet #72 | Source: 192.168.215.81:59962 | Destination: 104.18.19.125:443 | Protocol: TCP
2025-05-10 18:06:25,406 - Packet #75 | Source: 192.168.215.81:59962 | Destination: 104.18.19.125:443 | Protocol: TCP
